 "x_c",  "y_c",  "u_c",  "v_c",  "x",  "y",  "u",  "v",  "sigma",  "Xp",  "Yp"
-16.6706,8.67637,-0.00605669,0.00175222,613,706,1.30949,6.07533,1,-16.6767,8.67812
-16.4797,8.67637,-0.00595176,0.0020578,620,706,1.31336,6.06362,1,-16.4856,8.67843
-16.2887,8.67637,-0.00590025,0.00222606,627,706,1.31526,6.05696,1,-16.2946,8.6786
-16.0977,8.67637,-0.00578963,0.00215685,634,706,1.31926,6.05896,1,-16.1035,8.67853
-15.9067,8.67637,-0.00555696,0.00185112,641,706,1.32782,6.06965,1,-15.9122,8.67822
-15.7157,8.67637,-0.00530044,0.00149293,648,706,1.33722,6.08225,1,-15.721,8.67787
-15.5247,8.67637,-0.00536339,0.0013894,655,706,1.33492,6.08555,1,-15.5301,8.67776
-15.3337,8.67637,-0.00572196,0.00152527,662,706,1.32176,6.08007,1,-15.3394,8.6779
-15.1427,8.67637,-0.00580302,0.00163632,669,706,1.31881,6.07551,1,-15.1485,8.67801
-14.9517,8.67637,-0.00525847,0.00168342,676,706,1.33877,6.07326,1,-14.957,8.67806
-14.7607,8.67637,-0.00445261,0.00172765,683,706,1.36829,6.07113,1,-14.7652,8.6781
-14.5698,8.67637,-0.00386133,0.00168892,690,706,1.38996,6.07201,1,-14.5736,8.67806
-14.3788,8.67637,-0.00358669,0.00150907,697,706,1.40002,6.0781,1,-14.3824,8.67788
-14.1878,8.67637,-0.00353044,0.00128346,704,706,1.40208,6.08588,1,-14.1913,8.67766
-13.9968,8.67637,-0.00359339,0.0011332,711,706,1.39981,6.09088,1,-14.0004,8.67751
-13.8058,8.67637,-0.00363344,0.00117368,718,706,1.39834,6.08889,1,-13.8094,8.67755
-13.6148,8.67637,-0.00365536,0.00140011,725,706,1.39754,6.08005,1,-13.6185,8.67777
-13.4238,8.67637,-0.00380506,0.00165899,732,706,1.39201,6.07007,1,-13.4276,8.67803
-13.2328,8.67637,-0.00403967,0.00168231,739,706,1.38341,6.06872,1,-13.2369,8.67805
-13.0418,8.67637,-0.00405781,0.0013766,746,706,1.38273,6.07939,1,-13.0459,8.67775
-12.8509,8.67637,-0.00387187,0.00101746,753,706,1.38961,6.09201,1,-12.8547,8.67739
-12.6599,8.67637,-0.00376125,0.000829043,760,706,1.39359,6.09844,1,-12.6636,8.6772
-12.4689,8.67637,-0.00375458,0.000775099,767,706,1.39383,6.09989,1,-12.4726,8.67715
-12.2779,8.67637,-0.00374981,0.000771699,774,706,1.39404,6.09952,1,-12.2816,8.67714
-12.0869,8.67637,-0.00368496,0.000824563,781,706,1.39641,6.09713,1,-12.0906,8.6772
-11.8959,8.67637,-0.00349994,0.000927008,788,706,1.40319,6.09286,1,-11.8994,8.6773
-11.7049,8.67637,-0.00323004,0.0010695,795,706,1.41306,6.08711,1,-11.7081,8.67744
-11.5139,8.67637,-0.00308412,0.00114525,802,706,1.41845,6.08382,1,-11.517,8.67752
-11.3229,8.67637,-0.00328058,0.00110848,809,706,1.41126,6.08468,1,-11.3262,8.67748
-11.1319,8.67637,-0.00368686,0.000847623,816,706,1.39636,6.0937,1,-11.1356,8.67722
-10.941,8.67637,-0.00387858,0.000424621,823,706,1.38936,6.10871,1,-10.9448,8.6768
-10.75,8.67637,-0.00365639,0.000185649,830,706,1.39745,6.11696,1,-10.7536,8.67656
-10.559,8.67637,-0.00311183,0.00037676,837,706,1.41739,6.10942,1,-10.5621,8.67675
-10.368,8.67637,-0.00263782,0.000789128,844,706,1.43482,6.09379,1,-10.3706,8.67716
-10.177,8.67637,-0.00248713,0.00101174,851,706,1.44033,6.08514,1,-10.1795,8.67738
-9.98601,8.67637,-0.00257105,0.00094445,858,706,1.43725,6.08709,1,-9.98858,8.67732
-9.79502,8.67637,-0.00271412,0.000757003,865,706,1.43202,6.09345,1,-9.79774,8.67713
-9.60403,8.67637,-0.00283716,0.000528546,872,706,1.4275,6.10133,1,-9.60687,8.6769
-9.41305,8.67637,-0.00285244,0.000204713,879,706,1.42697,6.11269,1,-9.4159,8.67658
-9.22206,8.67637,-0.00276377,-5.04619e-05,886,706,1.43015,6.1215,1,-9.22482,8.67632
-9.03107,8.67637,-0.00271704,-9.77332e-05,893,706,1.4319,6.12276,1,-9.03378,8.67628
-8.84008,8.67637,-0.00278379,-2.86479e-05,900,706,1.42943,6.11966,1,-8.84286,8.67634
-8.64909,8.67637,-0.00283719,7.9537e-05,907,706,1.4275,6.11523,1,-8.65193,8.67645
-8.4581,8.67637,-0.00284576,0.000200116,914,706,1.42718,6.11032,1,-8.46095,8.67657
-8.26711,8.67637,-0.00292015,0.000218657,921,706,1.42445,6.10911,1,-8.27003,8.67659
-8.07612,8.67637,-0.00298691,9.60542e-05,928,706,1.42201,6.11311,1,-8.07911,8.67647
-7.88513,8.67637,-0.00294401,-9.23606e-05,935,706,1.42361,6.11948,1,-7.88807,8.67628
-7.69414,8.67637,-0.00290063,-0.00026647,942,706,1.42518,6.12535,1,-7.69704,8.67611
-7.50315,8.67637,-0.00295739,-0.000447249,949,706,1.42311,6.13148,1,-7.50611,8.67593
-7.31216,8.67637,-0.0029922,-0.000577484,956,706,1.42179,6.13574,1,-7.31516,8.67579
-7.12117,8.67637,-0.00294213,-0.000481704,963,706,1.42364,6.13171,1,-7.12412,8.67589
-6.93018,8.67637,-0.00288059,-0.000180885,970,706,1.42589,6.12017,1,-6.93306,8.67619
-6.73919,8.67637,-0.00279093,4.74523e-05,977,706,1.42919,6.11134,1,-6.74199,8.67642
-6.54821,8.67637,-0.0025592,-9.51999e-05,984,706,1.4377,6.116,1,-6.55076,8.67628
-6.35722,8.67637,-0.00235132,-0.000430492,991,706,1.44533,6.12783,1,-6.35957,8.67594
-6.16623,8.67637,-0.00244097,-0.000547372,998,706,1.44201,6.13157,1,-6.16867,8.67583
-5.97524,8.67637,-0.00267747,-0.000331409,1005,706,1.43332,6.12317,1,-5.97792,8.67604
-5.78425,8.67637,-0.00257923,-0.000198439,1012,706,1.43698,6.11782,1,-5.78683,8.67617
-5.59326,8.67637,-0.00211958,-0.000488928,1019,706,1.45377,6.12794,1,-5.59538,8.67588
-5.40227,8.67637,-0.0019017,-0.000934847,1026,706,1.46174,6.14372,1,-5.40417,8.67544
-5.21128,8.67637,-0.00202808,-0.00125676,1033,706,1.45713,6.15505,1,-5.21331,8.67512
-5.02029,8.67637,-0.00192795,-0.00132502,1040,706,1.46086,6.15705,1,-5.02222,8.67505
-4.8293,8.67637,-0.00132188,-0.00122451,1047,706,1.48298,6.15282,1,-4.83062,8.67515
-4.63831,8.67637,-0.000729164,-0.00107537,1054,706,1.5048,6.14686,1,-4.63904,8.6753
-4.44732,8.67637,-0.000652384,-0.000967191,1061,706,1.50757,6.14241,1,-4.44798,8.67541
-4.25633,8.67637,-0.000995705,-0.00093814,1068,706,1.49502,6.14079,1,-4.25733,8.67543
-4.06534,8.67637,-0.00143201,-0.000948183,1075,706,1.47903,6.1407,1,-4.06678,8.67542
-3.87436,8.67637,-0.00172503,-0.00102595,1082,706,1.46828,6.14301,1,-3.87608,8.67535
-3.68337,8.67637,-0.00180157,-0.00114473,1089,706,1.4654,6.14688,1,-3.68517,8.67523
-3.49238,8.67637,-0.00169835,-0.00128452,1096,706,1.46919,6.1515,1,-3.49407,8.67509
-3.30139,8.67637,-0.00158844,-0.00127362,1103,706,1.47326,6.15056,1,-3.30298,8.6751
-3.1104,8.67637,-0.00148185,-0.00109487,1110,706,1.47718,6.14351,1,-3.11188,8.67528
-2.91941,8.67637,-0.00132186,-0.000905642,1117,706,1.48307,6.13607,1,-2.92073,8.67547
-2.72842,8.67637,-0.00105888,-0.000912874,1124,706,1.4927,6.13581,1,-2.72948,8.67546
-2.53743,8.67637,-0.00079234,-0.00108319,1131,706,1.50244,6.14151,1,-2.53822,8.67529
-2.34644,8.67637,-0.000599229,-0.00120199,1138,706,1.50947,6.14538,1,-2.34704,8.67517
-2.15545,8.67637,-0.00043282,-0.00131222,1145,706,1.51558,6.14895,1,-2.15588,8.67506
-1.96446,8.67637,-0.000329483,-0.00155881,1152,706,1.51945,6.15748,1,-1.96479,8.67481
-1.77347,8.67637,-0.000392797,-0.00176438,1159,706,1.51705,6.16449,1,-1.77387,8.67461
-1.58248,8.67637,-0.000565997,-0.00161709,1166,706,1.51073,6.15859,1,-1.58305,8.67476
-1.39149,8.67637,-0.000602565,-0.00121422,1173,706,1.50935,6.14333,1,-1.3921,8.67516
-1.2005,8.67637,-0.000502644,-0.000901959,1180,706,1.51309,6.13132,1,-1.20101,8.67547
-1.00952,8.67637,-0.000522608,-0.000853858,1187,706,1.51236,6.12911,1,-1.01004,8.67552
-0.818526,8.67637,-0.000739101,-0.000987894,1194,706,1.50443,6.13348,1,-0.819265,8.67538
-0.627536,8.67637,-0.000825718,-0.00115341,1201,706,1.50118,6.13905,1,-0.628362,8.67522
-0.436547,8.67637,-0.000555956,-0.00127222,1208,706,1.51107,6.14286,1,-0.437103,8.6751
-0.245558,8.67637,-0.000202905,-0.00131093,1215,706,1.52407,6.14379,1,-0.245761,8.67506
-0.0545684,8.67637,-0.000152949,-0.00122183,1222,706,1.5259,6.14003,1,-0.0547213,8.67515
0.136421,8.67637,-0.000366099,-0.00106786,1229,706,1.51804,6.13384,1,0.136055,8.6753
0.32741,8.67637,-0.000569254,-0.00097969,1236,706,1.51067,6.1301,1,0.326841,8.67539
0.5184,8.67637,-0.000705778,-0.000980217,1243,706,1.50558,6.12963,1,0.517694,8.67539
0.709389,8.67637,-0.000859025,-0.00102938,1250,706,1.49997,6.13092,1,0.70853,8.67534
0.900378,8.67637,-0.00102891,-0.00116628,1257,706,1.49377,6.13543,1,0.899349,8.67521
1.09137,8.67637,-0.00113544,-0.00138711,1264,706,1.48983,6.14303,1,1.09023,8.67499
1.28236,8.67637,-0.0010123,-0.00146395,1271,706,1.49444,6.14532,1,1.28134,8.67491
1.47335,8.67637,-0.000639158,-0.00126138,1278,706,1.50801,6.13739,1,1.47271,8.67511
1.66434,8.67637,-0.000322748,-0.000882383,1285,706,1.51969,6.123,1,1.66401,8.67549
1.85532,8.67637,-0.000242855,-0.000570121,1292,706,1.5226,6.11101,1,1.85508,8.6758
2.04631,8.67637,-0.000176212,-0.000513444,1299,706,1.52502,6.10846,1,2.04614,8.67586
2.2373,8.67637,1.02116e-05,-0.000787699,1306,706,1.53184,6.11796,1,2.23731,8.67558
2.42829,8.67637,0.000100311,-0.00110296,1313,706,1.53518,6.12902,1,2.42839,8.67527
2.61928,8.67637,6.3594e-05,-0.00112161,1320,706,1.53381,6.12923,1,2.61935,8.67525
2.81027,8.67637,9.03194e-05,-0.000818883,1327,706,1.53475,6.11759,1,2.81036,8.67555
3.00126,8.67637,0.000186906,-0.000450356,1334,706,1.53832,6.10357,1,3.00145,8.67592
3.19225,8.67637,0.000266785,-0.000340273,1341,706,1.54128,6.09909,1,3.19252,8.67603
3.38324,8.67637,0.000373349,-0.000467657,1348,706,1.54515,6.10321,1,3.38361,8.67591
3.57423,8.67637,0.000426744,-0.000631277,1355,706,1.54708,6.10868,1,3.57466,8.67574
3.76522,8.67637,0.00021026,-0.000631799,1362,706,1.53914,6.10824,1,3.76543,8.67574
3.95621,8.67637,-7.63181e-05,-0.000625641,1369,706,1.52871,6.1075,1,3.95613,8.67575
4.1472,8.67637,-0.000123052,-0.000691025,1376,706,1.52699,6.10936,1,4.14707,8.67568
4.33819,8.67637,-9.56804e-06,-0.000738301,1383,706,1.53111,6.11058,1,4.33818,8.67563
4.52918,8.67637,1.0454e-05,-0.000816088,1390,706,1.53186,6.11291,1,4.52919,8.67556
4.72016,8.67637,-4.63056e-05,-0.00104264,1397,706,1.52981,6.12071,1,4.72012,8.67533
4.91115,8.67637,-7.63636e-05,-0.00128637,1404,706,1.52868,6.12915,1,4.91108,8.67509
