 "x_c",  "y_c",  "u_c",  "v_c",  "x",  "y",  "u",  "v",  "sigma",  "Xp",  "Yp"
-16.6706,8.67637,-0.00542383,0.0021707,613,706,1.25143,5.7204,1,-16.6761,8.67854
-16.4797,8.67637,-0.00526554,0.0019,620,706,1.25723,5.72979,1,-16.4849,8.67827
-16.2887,8.67637,-0.00523694,0.00168081,627,706,1.25829,5.73731,1,-16.2939,8.67805
-16.0977,8.67637,-0.00520072,0.00151502,634,706,1.25963,5.74284,1,-16.1029,8.67789
-15.9067,8.67637,-0.00503287,0.00147798,641,706,1.26578,5.74369,1,-15.9117,8.67785
-15.7157,8.67637,-0.00483259,0.00159828,648,706,1.27313,5.7388,1,-15.7205,8.67797
-15.5247,8.67637,-0.00491269,0.00171956,655,706,1.27018,5.73383,1,-15.5296,8.67809
-15.3337,8.67637,-0.00529226,0.0016568,662,706,1.25627,5.73559,1,-15.339,8.67803
-15.1427,8.67637,-0.00537906,0.0014443,669,706,1.25309,5.74286,1,-15.1481,8.67782
-14.9517,8.67637,-0.00495944,0.00136241,676,706,1.2685,5.74539,1,-14.9567,8.67774
-14.7607,8.67637,-0.00451502,0.00150082,683,706,1.28482,5.73972,1,-14.7653,8.67787
-14.5698,8.67637,-0.00437196,0.00163734,690,706,1.29007,5.73427,1,-14.5741,8.67801
-14.3788,8.67637,-0.00427469,0.0015879,697,706,1.29355,5.73551,1,-14.383,8.67796
-14.1878,8.67637,-0.0039905,0.00146405,704,706,1.304,5.73955,1,-14.1918,8.67784
-13.9968,8.67637,-0.0037292,0.00142605,711,706,1.31358,5.74043,1,-14.0005,8.6778
-13.8058,8.67637,-0.00377497,0.00144909,718,706,1.3119,5.73907,1,-13.8096,8.67782
-13.6148,8.67637,-0.00403056,0.00142638,725,706,1.30252,5.73936,1,-13.6188,8.6778
-13.4238,8.67637,-0.00429664,0.00129209,732,706,1.29277,5.74379,1,-13.4281,8.67766
-13.2328,8.67637,-0.00433957,0.00115969,739,706,1.29117,5.74811,1,-13.2372,8.67753
-13.0418,8.67637,-0.00402486,0.00112931,746,706,1.30273,5.74871,1,-13.0459,8.6775
-12.8509,8.67637,-0.00359188,0.00121526,753,706,1.3186,5.74507,1,-12.8544,8.67759
-12.6599,8.67637,-0.00342403,0.00127263,760,706,1.32478,5.74244,1,-12.6633,8.67764
-12.4689,8.67637,-0.00357853,0.00116312,767,706,1.3191,5.7459,1,-12.4725,8.67754
-12.2779,8.67637,-0.00368536,0.000877186,774,706,1.31519,5.75587,1,-12.2816,8.67725
-12.0869,8.67637,-0.00360527,0.000633197,781,706,1.31809,5.76429,1,-12.0905,8.67701
-11.8959,8.67637,-0.00347938,0.00070487,788,706,1.32274,5.76114,1,-11.8994,8.67708
-11.7049,8.67637,-0.00345932,0.00112369,795,706,1.32346,5.74532,1,-11.7084,8.6775
-11.5139,8.67637,-0.00345739,0.00153011,802,706,1.32354,5.72986,1,-11.5174,8.6779
-11.3229,8.67637,-0.00335057,0.00160465,809,706,1.32745,5.72662,1,-11.3263,8.67798
-11.1319,8.67637,-0.0032371,0.00135875,816,706,1.33158,5.73511,1,-11.1352,8.67773
-10.941,8.67637,-0.00326764,0.00102035,823,706,1.3305,5.74702,1,-10.9442,8.67739
-10.75,8.67637,-0.00340785,0.000787823,830,706,1.32538,5.75502,1,-10.7534,8.67716
-10.559,8.67637,-0.00337448,0.000693564,837,706,1.32659,5.75791,1,-10.5624,8.67707
-10.368,8.67637,-0.00310936,0.000639342,844,706,1.33628,5.75938,1,-10.3711,8.67701
-10.177,8.67637,-0.00287095,0.000510736,851,706,1.34502,5.76358,1,-10.1799,8.67688
-9.98601,8.67637,-0.00285284,0.000316342,858,706,1.34568,5.7702,1,-9.98887,8.67669
