 "x_c",  "y_c",  "u_c",  "v_c",  "x",  "y",  "u",  "v",  "sigma",  "Xp",  "Yp"
-6.35722,8.67637,-0.00196489,0.000983288,991,706,1.1727,5.0537,1,-6.35918,8.67736
-6.16623,8.67637,-0.00203166,0.000863106,998,706,1.1702,5.05751,1,-6.16826,8.67724
-5.97524,8.67637,-0.00195965,0.000884056,1005,706,1.17287,5.05615,1,-5.9772,8.67726
-5.78425,8.67637,-0.00163683,0.000879235,1012,706,1.18466,5.0557,1,-5.78589,8.67725
-5.59326,8.67637,-0.00131546,0.000682726,1019,706,1.19646,5.06233,1,-5.59457,8.67706
-5.40227,8.67637,-0.00129069,0.000337469,1026,706,1.19742,5.07442,1,-5.40356,8.67671
-5.21128,8.67637,-0.0015072,4.46849e-05,1033,706,1.1895,5.08455,1,-5.21279,8.67642
-5.02029,8.67637,-0.00164024,3.03662e-05,1040,706,1.18463,5.08445,1,-5.02193,8.6764
-4.8293,8.67637,-0.00155677,0.000248726,1047,706,1.18765,5.07589,1,-4.83086,8.67662
-4.63831,8.67637,-0.00141705,0.000425119,1054,706,1.19269,5.0688,1,-4.63973,8.6768
-4.44732,8.67637,-0.00141036,0.000497573,1061,706,1.19301,5.06558,1,-4.44873,8.67687
-4.25633,8.67637,-0.0014137,0.000528066,1068,706,1.19286,5.06382,1,-4.25775,8.6769
-4.06534,8.67637,-0.00129401,0.00052517,1075,706,1.19725,5.06334,1,-4.06664,8.6769
-3.87436,8.67637,-0.00109399,0.000382077,1082,706,1.20459,5.06801,1,-3.87545,8.67675
-3.68337,8.67637,-0.00100079,0.000104525,1089,706,1.20797,5.07755,1,-3.68437,8.67648
-3.49238,8.67637,-0.00105398,-0.000185413,1096,706,1.20605,5.08757,1,-3.49343,8.67619
-3.30139,8.67637,-0.00110404,-0.000117722,1103,706,1.20421,5.08455,1,-3.30249,8.67626
-3.1104,8.67637,-0.00112403,0.000301871,1110,706,1.20344,5.06852,1,-3.11152,8.67667
-2.91941,8.67637,-0.00119387,0.000579372,1117,706,1.20093,5.0578,1,-2.9206,8.67695
-2.72842,8.67637,-0.00126373,0.000432487,1124,706,1.19842,5.06254,1,-2.72968,8.6768
-2.53743,8.67637,-0.00111737,0.000176865,1131,706,1.20377,5.07138,1,-2.53855,8.67655
-2.34644,8.67637,-0.000747581,0.000149152,1138,706,1.21729,5.0718,1,-2.34719,8.67652
-2.15545,8.67637,-0.000451229,0.000106187,1145,706,1.22811,5.07274,1,-2.1559,8.67648
