 "x_c",  "y_c",  "u_c",  "v_c",  "x",  "y",  "u",  "v",  "sigma",  "Xp",  "Yp"
-16.6706,8.67637,-0.0044747,0.00162565,613,706,0.805091,4.13132,1,-16.6751,8.678
-16.4797,8.67637,-0.00438504,0.00182444,620,706,0.808437,4.1235,1,-16.484,8.6782
-16.2887,8.67637,-0.00438311,0.00209381,627,706,0.808474,4.11306,1,-16.293,8.67847
-16.0977,8.67637,-0.00433159,0.00227735,634,706,0.810388,4.1057,1,-16.102,8.67865
-15.9067,8.67637,-0.00413704,0.00229207,641,706,0.817519,4.10464,1,-15.9108,8.67866
-15.7157,8.67637,-0.0039301,0.00218949,648,706,0.825098,4.10776,1,-15.7196,8.67856
-15.5247,8.67637,-0.00399496,0.00212413,655,706,0.822689,4.10961,1,-15.5287,8.6785
-15.3337,8.67637,-0.00422956,0.00216654,662,706,0.814092,4.10746,1,-15.3379,8.67854
-15.1427,8.67637,-0.00416662,0.00212024,669,706,0.816418,4.10861,1,-15.1469,8.67849
-14.9517,8.67637,-0.00373652,0.00193944,676,706,0.832128,4.11462,1,-14.9555,8.67831
-14.7607,8.67637,-0.00340084,0.00181777,683,706,0.844496,4.11855,1,-14.7641,8.67819
-14.5698,8.67637,-0.00332264,0.00183537,690,706,0.847336,4.11731,1,-14.5731,8.67821
-14.3788,8.67637,-0.00324539,0.00186059,697,706,0.850179,4.1158,1,-14.382,8.67823
-14.1878,8.67637,-0.00302414,0.00175324,704,706,0.858299,4.11912,1,-14.1908,8.67813
-13.9968,8.67637,-0.00270754,0.00157435,711,706,0.86986,4.12512,1,-13.9995,8.67795
-13.8058,8.67637,-0.00234991,0.00150037,718,706,0.883003,4.12725,1,-13.8082,8.67787
-13.6148,8.67637,-0.00210673,0.00151127,725,706,0.891934,4.12626,1,-13.6169,8.67788
-13.4238,8.67637,-0.00227457,0.00155178,732,706,0.885714,4.12423,1,-13.4261,8.67792
-13.2328,8.67637,-0.00281434,0.00167432,739,706,0.865969,4.11915,1,-13.2356,8.67805
-13.0418,8.67637,-0.00315383,0.00189318,746,706,0.853533,4.11051,1,-13.045,8.67827
-12.8509,8.67637,-0.00299551,0.00195463,753,706,0.859322,4.1077,1,-12.8538,8.67833
-12.6599,8.67637,-0.00263599,0.00177861,760,706,0.872506,4.11356,1,-12.6625,8.67815
-12.4689,8.67637,-0.0024529,0.00158161,767,706,0.879207,4.12022,1,-12.4713,8.67795
-12.2779,8.67637,-0.00244814,0.00148954,774,706,0.879402,4.12306,1,-12.2803,8.67786
-12.0869,8.67637,-0.00238997,0.00144991,781,706,0.881518,4.12387,1,-12.0893,8.67782
-11.8959,8.67637,-0.00218015,0.00156572,788,706,0.889227,4.11907,1,-11.8981,8.67794
-11.7049,8.67637,-0.00197508,0.00192758,795,706,0.89671,4.1052,1,-11.7069,8.6783
-11.5139,8.67637,-0.00205993,0.00225895,802,706,0.893586,4.09254,1,-11.516,8.67863
-11.3229,8.67637,-0.00235939,0.00216499,809,706,0.882637,4.0954,1,-11.3253,8.67854
-11.1319,8.67637,-0.00252251,0.00162757,816,706,0.876649,4.11451,1,-11.1345,8.678
-10.941,8.67637,-0.00237188,0.00102908,823,706,0.882183,4.13588,1,-10.9433,8.6774
-10.75,8.67637,-0.00218212,0.00077296,830,706,0.889159,4.14463,1,-10.7522,8.67715
