 "x_c",  "y_c",  "u_c",  "v_c",  "x",  "y",  "u",  "v",  "sigma",  "Xp",  "Yp"
-16.6706,8.67637,-0.00614661,0.00133452,613,706,1.61073,6.63018,1,-16.6768,8.67771
-16.4797,8.67637,-0.00587385,0.00139559,620,706,1.6207,6.6275,1,-16.4855,8.67777
-16.2887,8.67637,-0.00568883,0.00151485,627,706,1.6275,6.62268,1,-16.2944,8.67789
-16.0977,8.67637,-0.00552861,0.00163888,634,706,1.63338,6.61767,1,-16.1032,8.67801
-15.9067,8.67637,-0.00533596,0.0017238,641,706,1.64044,6.61417,1,-15.912,8.6781
-15.7157,8.67637,-0.00517765,0.00168093,648,706,1.64625,6.61526,1,-15.7209,8.67805
-15.5247,8.67637,-0.00532739,0.00146929,655,706,1.64074,6.62257,1,-15.53,8.67784
-15.3337,8.67637,-0.0057022,0.00121474,662,706,1.62699,6.63144,1,-15.3394,8.67759
-15.1427,8.67637,-0.00582238,0.000958265,669,706,1.62263,6.64039,1,-15.1485,8.67733
-14.9517,8.67637,-0.00548384,0.000799039,676,706,1.63501,6.64578,1,-14.9572,8.67717
-14.7607,8.67637,-0.00499936,0.000888712,683,706,1.65275,6.64204,1,-14.7657,8.67726
-14.5698,8.67637,-0.00457591,0.00120727,690,706,1.66828,6.62986,1,-14.5743,8.67758
-14.3788,8.67637,-0.00402658,0.00148767,697,706,1.68839,6.61912,1,-14.3828,8.67786
-14.1878,8.67637,-0.00349919,0.00147053,704,706,1.70775,6.61933,1,-14.1913,8.67784
-13.9968,8.67637,-0.00333709,0.00119974,711,706,1.71371,6.62878,1,-14.0001,8.67757
-13.8058,8.67637,-0.00349064,0.000949943,718,706,1.7081,6.63753,1,-13.8093,8.67732
-13.6148,8.67637,-0.0037491,0.000857513,725,706,1.69859,6.64043,1,-13.6186,8.67723
-13.4238,8.67637,-0.00414869,0.000843292,732,706,1.68396,6.64049,1,-13.428,8.67722
-13.2328,8.67637,-0.00464841,0.000869132,739,706,1.66565,6.63908,1,-13.2375,8.67724
-13.0418,8.67637,-0.00487633,0.000965527,746,706,1.6573,6.63512,1,-13.0467,8.67734
-12.8509,8.67637,-0.00467796,0.00110481,753,706,1.66456,6.62961,1,-12.8555,8.67748
