 "x_c",  "y_c",  "u_c",  "v_c",  "x",  "y",  "u",  "v",  "sigma",  "Xp",  "Yp"
-16.6706,8.67637,-0.00676455,0.00160739,613,706,1.73544,7.164,1,-16.6774,8.67798
-16.4797,8.67637,-0.00641358,0.00190604,620,706,1.74829,7.15266,1,-16.4861,8.67828
-16.2887,8.67637,-0.00620948,0.0021532,627,706,1.75579,7.14319,1,-16.2949,8.67853
-16.0977,8.67637,-0.00614271,0.00227449,634,706,1.75821,7.13833,1,-16.1038,8.67865
-15.9067,8.67637,-0.00615702,0.00226894,641,706,1.7577,7.13814,1,-15.9128,8.67864
-15.7157,8.67637,-0.00629053,0.00222429,648,706,1.75282,7.13932,1,-15.722,8.6786
-15.5247,8.67637,-0.00648509,0.00215962,655,706,1.74564,7.14128,1,-15.5312,8.67853
-15.3337,8.67637,-0.0065919,0.00202343,662,706,1.74176,7.14587,1,-15.3403,8.6784
-15.1427,8.67637,-0.00633061,0.00173557,669,706,1.75135,7.15601,1,-15.1491,8.67811
-14.9517,8.67637,-0.00568403,0.00153734,676,706,1.775,7.16284,1,-14.9574,8.67791
-14.7607,8.67637,-0.00504984,0.00160614,683,706,1.79825,7.15991,1,-14.7658,8.67798
-14.5698,8.67637,-0.00468649,0.00163967,690,706,1.81161,7.15827,1,-14.5744,8.67801
-14.3788,8.67637,-0.00452723,0.00140904,697,706,1.81744,7.1663,1,-14.3833,8.67778
-14.1878,8.67637,-0.00437371,0.00111928,704,706,1.82306,7.17654,1,-14.1922,8.67749
-13.9968,8.67637,-0.00417439,0.00106794,711,706,1.83041,7.17796,1,-14.001,8.67744
-13.8058,8.67637,-0.00403419,0.00124358,718,706,1.83553,7.17115,1,-13.8098,8.67762
-13.6148,8.67637,-0.00403228,0.00143163,725,706,1.83558,7.16384,1,-13.6188,8.6778
-13.4238,8.67637,-0.00421061,0.00144707,732,706,1.82904,7.16285,1,-13.428,8.67782
-13.2328,8.67637,-0.00461212,0.00128609,739,706,1.81432,7.16831,1,-13.2374,8.67766
