 "x_c",  "y_c",  "u_c",  "v_c",  "x",  "y",  "u",  "v",  "sigma",  "Xp",  "Yp"
-16.6706,8.67637,-0.00575563,0.00133326,613,706,1.46076,6.37808,1,-16.6764,8.67771
-16.4797,8.67637,-0.00552293,0.00141454,620,706,1.46929,6.37459,1,-16.4852,8.67779
-16.2887,8.67637,-0.00542374,0.00156449,627,706,1.47295,6.3686,1,-16.2941,8.67794
-16.0977,8.67637,-0.00541228,0.00170681,634,706,1.47331,6.36292,1,-16.1031,8.67808
-15.9067,8.67637,-0.0053646,0.00172993,641,706,1.47507,6.36156,1,-15.912,8.6781
-15.7157,8.67637,-0.00525683,0.00171203,648,706,1.47907,6.36173,1,-15.721,8.67808
-15.5247,8.67637,-0.00532455,0.00166744,655,706,1.47654,6.36289,1,-15.53,8.67804
-15.3337,8.67637,-0.00562592,0.00150747,662,706,1.46551,6.3683,1,-15.3393,8.67788
-15.1427,8.67637,-0.00573085,0.00109285,669,706,1.46165,6.38302,1,-15.1485,8.67747
-14.9517,8.67637,-0.00538946,0.000750691,676,706,1.4742,6.39508,1,-14.9571,8.67712
-14.7607,8.67637,-0.00489639,0.00100361,683,706,1.49224,6.38531,1,-14.7656,8.67738
-14.5698,8.67637,-0.00460167,0.00152548,690,706,1.50308,6.36575,1,-14.5744,8.6779
-14.3788,8.67637,-0.00440711,0.00165348,697,706,1.51019,6.36054,1,-14.3832,8.67803
-14.1878,8.67637,-0.00412198,0.00137236,704,706,1.52063,6.37036,1,-14.1919,8.67774
-13.9968,8.67637,-0.00375769,0.00120948,711,706,1.53397,6.37583,1,-14.0005,8.67758
-13.8058,8.67637,-0.00347825,0.00131936,718,706,1.54424,6.37131,1,-13.8093,8.67769
-13.6148,8.67637,-0.00337621,0.00137299,725,706,1.54795,6.36892,1,-13.6182,8.67775
-13.4238,8.67637,-0.00345442,0.00122159,732,706,1.54512,6.37395,1,-13.4273,8.67759
-13.2328,8.67637,-0.0036032,0.001033,739,706,1.53966,6.38038,1,-13.2364,8.67741
-13.0418,8.67637,-0.00358795,0.000954073,746,706,1.54024,6.38279,1,-13.0454,8.67733
-12.8509,8.67637,-0.00353168,0.000932363,753,706,1.54232,6.38314,1,-12.8544,8.67731
-12.6599,8.67637,-0.00362324,0.000903987,760,706,1.53893,6.38369,1,-12.6635,8.67728
-12.4689,8.67637,-0.00384926,0.000819354,767,706,1.53063,6.38629,1,-12.4727,8.67719
-12.2779,8.67637,-0.00396753,0.000678446,774,706,1.52628,6.391,1,-12.2819,8.67705
-12.0869,8.67637,-0.00376441,0.00049174,781,706,1.53374,6.39736,1,-12.0907,8.67686
-11.8959,8.67637,-0.00342109,0.000375597,788,706,1.54633,6.40112,1,-11.8993,8.67675
-11.7049,8.67637,-0.00330475,0.00035579,795,706,1.55062,6.40139,1,-11.7082,8.67673
-11.5139,8.67637,-0.0035117,0.00028546,802,706,1.54302,6.40346,1,-11.5174,8.67666
-11.3229,8.67637,-0.00377111,0.000108323,809,706,1.53351,6.4095,1,-11.3267,8.67648
