 "x_c",  "y_c",  "u_c",  "v_c",  "x",  "y",  "u",  "v",  "sigma",  "Xp",  "Yp"
-16.6706,8.67637,-0.0048182,0.00209929,613,706,0.866083,4.47801,1,-16.6755,8.67847
-16.4797,8.67637,-0.00473999,0.00220574,620,706,0.868953,4.47349,1,-16.4844,8.67858
-16.2887,8.67637,-0.00469421,0.00222542,627,706,0.870632,4.47219,1,-16.2934,8.6786
-16.0977,8.67637,-0.00457406,0.00216211,634,706,0.875016,4.47386,1,-16.1022,8.67853
-15.9067,8.67637,-0.0043366,0.00208068,641,706,0.883741,4.47623,1,-15.911,8.67845
-15.7157,8.67637,-0.00409341,0.00203644,648,706,0.892632,4.47731,1,-15.7198,8.67841
-15.5247,8.67637,-0.00412298,0.00199127,655,706,0.891569,4.47834,1,-15.5288,8.67836
-15.3337,8.67637,-0.00439861,0.00178972,662,706,0.88146,4.48509,1,-15.3381,8.67816
-15.1427,8.67637,-0.00447683,0.00150518,669,706,0.8786,4.49495,1,-15.1472,8.67788
-14.9517,8.67637,-0.00412493,0.00144377,676,706,0.891474,4.49655,1,-14.9559,8.67782
-14.7607,8.67637,-0.00364044,0.00170468,683,706,0.90925,4.48638,1,-14.7644,8.67808
-14.5698,8.67637,-0.00336767,0.00198469,690,706,0.91927,4.47552,1,-14.5731,8.67836
-14.3788,8.67637,-0.00332761,0.00205491,697,706,0.92073,4.47238,1,-14.3821,8.67843
-14.1878,8.67637,-0.00329709,0.0020002,704,706,0.92179,4.47373,1,-14.1911,8.67837
-13.9968,8.67637,-0.00321604,0.00190352,711,706,0.92481,4.47671,1,-14,8.67828
-13.8058,8.67637,-0.00308063,0.00177537,718,706,0.929766,4.48075,1,-13.8089,8.67815
-13.6148,8.67637,-0.00300625,0.00168727,725,706,0.932465,4.48338,1,-13.6178,8.67806
-13.4238,8.67637,-0.00313785,0.00169361,732,706,0.927663,4.48253,1,-13.427,8.67807
-13.2328,8.67637,-0.00343443,0.00183062,739,706,0.916805,4.47691,1,-13.2363,8.6782
-13.0418,8.67637,-0.00351262,0.00198572,746,706,0.913962,4.47062,1,-13.0454,8.67836
-12.8509,8.67637,-0.00319218,0.0020254,753,706,0.925658,4.46856,1,-12.854,8.6784
-12.6599,8.67637,-0.00281072,0.00186575,760,706,0.939635,4.47382,1,-12.6627,8.67824
-12.4689,8.67637,-0.00267627,0.0016861,767,706,0.944609,4.47977,1,-12.4716,8.67806
-12.2779,8.67637,-0.00276783,0.0016314,774,706,0.941205,4.48118,1,-12.2807,8.678
-12.0869,8.67637,-0.00287941,0.00157956,781,706,0.937126,4.4825,1,-12.0898,8.67795
-11.8959,8.67637,-0.00291471,0.00146668,788,706,0.935848,4.48601,1,-11.8988,8.67784
-11.7049,8.67637,-0.00288133,0.00147301,795,706,0.937067,4.48518,1,-11.7078,8.67785
-11.5139,8.67637,-0.00281933,0.00157851,802,706,0.939305,4.48072,1,-11.5167,8.67795
-11.3229,8.67637,-0.0026925,0.00147229,809,706,0.943969,4.48404,1,-11.3256,8.67785
-11.1319,8.67637,-0.00251514,0.00113528,816,706,0.950516,4.49575,1,-11.1345,8.67751
-10.941,8.67637,-0.00235304,0.000834509,823,706,0.956448,4.50618,1,-10.9433,8.67721
-10.75,8.67637,-0.00230346,0.000700641,830,706,0.95823,4.51044,1,-10.7523,8.67707
-10.559,8.67637,-0.00239311,0.00071079,837,706,0.954969,4.50944,1,-10.5614,8.67708
-10.368,8.67637,-0.00250467,0.000889741,844,706,0.950861,4.5023,1,-10.3705,8.67726
-10.177,8.67637,-0.00249606,0.00114307,851,706,0.951163,4.49243,1,-10.1795,8.67752
-9.98601,8.67637,-0.00239783,0.00125143,858,706,0.954795,4.48782,1,-9.98841,8.67762
-9.79502,8.67637,-0.00237495,0.00107465,865,706,0.955617,4.49371,1,-9.7974,8.67745
-9.60403,8.67637,-0.0024732,0.000824444,872,706,0.952011,4.50228,1,-9.60651,8.6772
-9.41305,8.67637,-0.00240836,0.000720139,879,706,0.954402,4.50547,1,-9.41545,8.67709
-9.22206,8.67637,-0.00212702,0.00079129,886,706,0.964747,4.50229,1,-9.22418,8.67716
